"","H1","H2","H3","H4","H5","U1","U2","U3","U4","U5"
"ASV_358",0,37,100,0,0,0,0,0,0,0
"ASV_361",64,177,8,1959,182,0,0,0,0,0
"ASV_363",33,9,1203,0,0,0,289,55,328,463
"ASV_365",0,0,8,0,0,0,0,0,0,10
"ASV_366",0,0,0,12,0,0,0,0,0,0
"ASV_369",0,0,0,0,0,16,0,0,0,40
"ASV_370",0,0,0,15,0,0,0,0,0,0
"ASV_372",0,16,0,0,0,24,42,1879,162,51
"ASV_373",0,0,0,9,0,0,0,0,0,0
"ASV_376",0,0,0,36,0,0,0,0,0,0
"ASV_377",0,0,0,20,0,0,0,0,0,0
"ASV_378",478,18,920,876,0,0,0,0,0,0
"ASV_379",90,10,2069,0,0,0,0,0,0,0
"ASV_380",0,0,0,13,0,0,0,0,0,0
"ASV_381",0,0,0,8,0,0,0,0,0,0
"ASV_393",371,766,161,811,0,0,0,0,0,35
"ASV_394",0,61,0,0,0,0,0,0,0,2112
"ASV_395",188,113,811,0,54,17,0,0,0,14
"ASV_397",0,0,0,0,0,0,40,0,0,2027
"ASV_403",574,57,668,458,0,0,14,106,0,66
"ASV_408",0,0,0,2134,0,0,0,0,0,0
"ASV_409",0,10,0,0,0,118,102,125,84,284
"ASV_410",0,0,0,0,0,66,21,326,0,1644
"ASV_411",317,0,0,1812,0,0,0,0,0,0
"ASV_412",0,0,0,0,0,0,0,0,4,0
"ASV_413",0,0,0,0,0,34,85,904,114,493
"ASV_415",18,49,616,0,263,0,13,0,0,75
"ASV_416",4,30,2035,8,0,0,0,6,0,0
"ASV_417",530,0,1558,0,0,0,0,0,0,0
"ASV_420",0,0,0,0,0,0,0,0,0,16
"ASV_423",0,0,0,11,12,0,0,8,0,0
"ASV_425",10,0,0,15,0,0,0,0,0,0
"ASV_429",0,0,44,0,0,0,0,0,0,0
"ASV_431",0,0,86,0,0,189,114,407,369,458
"ASV_436",100,0,48,1812,0,0,0,0,0,0
"ASV_438",0,0,0,0,0,0,0,0,0,5
"ASV_439",89,311,1461,0,72,0,0,0,0,0
"ASV_442",5,0,9,0,0,0,0,0,0,0
"ASV_444",869,206,19,644,0,0,0,0,32,0
"ASV_445",0,58,308,0,69,0,0,0,46,127
"ASV_447",0,0,195,106,0,0,0,0,40,0
"ASV_451",306,328,0,936,284,7,24,0,0,0
"ASV_452",0,0,0,4,0,0,0,0,0,0
"ASV_453",0,0,12,0,0,119,123,167,156,886
"ASV_454",18,31,12,60,0,30,245,476,273,354
"ASV_455",0,0,0,14,0,0,0,0,0,0
"ASV_456",198,21,853,659,26,0,12,4,8,4
"ASV_460",1302,71,329,0,0,0,24,75,60,0
"ASV_461",81,42,0,1493,0,0,0,0,0,8
"ASV_462",0,0,7,0,0,0,0,0,28,0
"ASV_464",0,0,0,0,0,0,331,368,783,203
"ASV_465",0,0,0,3,0,0,0,0,0,0
"ASV_468",0,0,0,0,0,0,0,29,0,0
"ASV_469",287,25,79,183,0,0,214,48,432,472
"ASV_473",37,1223,176,0,95,124,4,52,7,37
"ASV_475",0,0,0,0,0,0,0,0,0,20
"ASV_476",0,0,0,24,0,0,0,0,0,0
"ASV_480",16,0,12,0,0,0,0,0,0,19
"ASV_484",0,0,0,0,0,0,0,44,0,535
"ASV_485",0,0,0,0,0,59,0,422,122,109
"ASV_486",0,0,0,0,0,0,0,14,0,0
"ASV_489",0,2,0,0,0,0,0,0,0,0
"ASV_490",0,0,138,41,0,0,0,170,0,1372
"ASV_494",0,6,0,6,0,206,67,721,145,289
"ASV_497",40,971,430,80,22,0,0,0,0,0
"ASV_501",89,218,0,0,0,0,0,5,0,14
"ASV_505",25,68,1489,89,0,0,7,0,13,0
"ASV_511",471,19,52,651,0,0,0,0,0,0
"ASV_513",0,0,0,10,0,0,0,0,0,45
"ASV_520",0,0,0,5,0,0,0,0,0,0
