"","X1","X10","X11","X12","X2","X3","X39","X4","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X5","X50","X6","X7","X77","X78","X79","X8","X80","X81","X82","X83","X84","X85","X86","X87","X88","X9","AS1","AS2","FS1","FS2","ISR1","ISR3","ISR4"
"ASV_18",0.886336400841115,1.02466198144357,0.946076329331046,0.897094960783654,1.10544217687075,1.60560073782175,0.806301391734745,1.18690040594907,0.919261560219209,1.18780642467173,0.636018542176151,1.58664648965928,0.970792112524396,0,0.919212271851514,1.02826199385477,0.934401365780789,0.670534525394712,1.85948112682329,0.796397514539625,1.03742314212697,1.05290866017373,1.21747668139421,0.179657269209508,0.710797803201518,0.752401168533658,0.661229320503255,0.34871474821547,1.00112275449102,0.590540109859208,0.793491458016654,1.03529142595664,0.886235365455478,0.660173056925616,0.856130568624034,0.997836444675644,0,0,0.649904910226269,0.84559878643762,0.701711689786647,3.78892733564014,2.31607629427793
"ASV_19",1.08078775408687,0.767343626067548,0.798670668953688,0.801157976234558,0.999149659863946,1.08157960928985,0.962416952730692,0.859228514736133,0.67429350708387,1.18161993287656,0.638756068182648,1.63250332462053,0.996029342486035,0,0.942744106010913,1.09062699644063,0.784256937510956,0.593256610233974,1.09675982629997,0.671488014257186,0.838794564914855,0.778842729510862,1.48257241040746,0.160655058043118,1.10191224516084,1.26731258275362,0.797591787377467,0.453251160432188,0.920034930139721,0.670216156427514,0.826951941186031,1.41852084882457,0.957756114246622,0.758435809618302,1.26619039321601,0.960003783266141,0,0,0.326449931864808,0.591406666393342,0.473215975771342,0.951557093425606,0
"ASV_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898379970544919,0.236663902708679,0.17213719451503,0,0.249569043147143,0.234816866248001,0.0748502994011976,0.568980709023078,0.249519603063068,0.80077789853,0.164808681996984,0.227053739231642,0.112679328570599,0,0,0,0,0,0,0,0
"ASV_21",0.985823139711036,0.595798055816871,0.80805102915952,1.34143467869526,0.680272108843537,0.616248847153517,0.796544169172499,0.516083228660368,0.949566886380281,0.562970753360038,0.752819651786692,1.72421699454304,0.763846826838953,0,1.46191519715265,0.90809528155517,0.559421372335318,0.41492295986304,0.846230931967487,1.37480010501945,0.607272083196275,0.348388894910425,0.4860088365243,0.119195688225539,0.752953850837851,1.03192450768164,0.360202742686598,0.592893084214222,0.355538922155689,0.41431544215519,0.272463934379212,0.755019161471143,0.421350498313043,0.406407113078486,0.446070744032061,0.721185108118653,0,0,2.22674792973839,0.613955967365012,0.546226440604635,0.882352941176471,1.90735694822888
"ASV_22",0.378727926379813,0.441775957796101,0.632504288164666,0.0925707745649174,0.331632653061224,0.415024733797267,0.533986180224771,0.6444213860521,0.30810414930424,0.904774425042919,0.90338358214403,0.100885036914752,0.580456289117706,0,0.248554998308649,0.536947461288065,0.356688286448132,1.10329085029484,0.283932746910144,0.268913446467925,0.383340502517649,0.459873341281761,1.41384388807069,0.145107794361526,0.455519514737052,0.42243752758454,0.195538631744153,1.89023676717245,0.461576846307385,1.80536547871244,2.16728329557079,1.38420179603043,0.648351135780587,0.974041461157592,0.640065051983505,0.483548703640211,0,0,0.0389343955435092,0.417162067975893,0.40155755658311,0.588235294117647,0
"ASV_23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71821305841924,0,0,0,0,0.265241642937941,0,0.0356198796423014,0.0277244003403409,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343642611683849,0,0,0,0,0,0,0.0131231135524268,0,0.0457587370588572,0,0.294788258078057,0.0673752686298426,0,0,0,0,0,0,0,0
"ASV_25",0.0429601826938296,0.244406323206611,1.2891295025729,0.16999360420103,0.238095238095238,0.0838433805651044,0,0.305827098465403,0,0,0,0,0,0,0,0,0,0.0142666920296747,0.896336710833983,0,0.292249690038208,0.0294195066813248,0,0,0,0.111388999810849,0,0,0,0,0,0,0,0,0,0.120591608242791,0,0,0,0,0,0,0
"ASV_26",0.793632848712325,0.72584066552303,0.684766295025729,0.385431043188474,0.969387755102041,0.993544059696487,0.833799018955622,1.27063877814793,0.623784630148749,1.00685153966315,0.450779282403183,1.72421699454304,0.972474594521839,5.47839506172839,0.464753724648126,0.867025645705941,0.650879907322018,0.525489823093019,1.19697138403296,0.42405581943019,0.73758255104881,0.659616307697072,0.598919980363279,0.143380320619127,0.729533824373222,0.657825602656523,0.342192605552268,0.206732456995748,1.04946357285429,0.472432087887366,0.63957323543752,0.697820740147572,0.536405615933579,0.599116589233074,1.01295231457281,0.822860385656692,0,0,0.227616466254361,0.97064491000779,0.611124631567562,1.03806228373702,0
"ASV_27",0,0,0,0,0,0,0,0,0,0,0,0,0.0201897839693115,0,0,0,0,0.0653890051360091,0,0,0,0,0.1620029455081,0.0535516860143726,0.10187711512114,0,0.100342192605552,0.166166088075828,0.0686127744510978,0.313079994750755,0.222751216527567,1.15540811073614,0.251877419655768,0.296696272693449,0.0313643491897543,0,0,0,0,0,0,0,0
"ASV_28",0.0192190290998711,0,0.0643224699828474,0,0,0,0.0487861128112332,0,0.570750309366871,2.52254202947863,3.18374274555608,0.976750584674646,0.950602328555084,4.47530864197531,0,0.413738553740379,1.1142698179213,10.8878638006468,0,0.190944459030479,0.0569317577996508,0,0,0.82055002763958,0,0,0.0385931510021355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_29",0.731453636918624,0.692638297087415,0.448917238421955,0.351768943346686,0.688775510204082,0.993544059696487,0.663491134232772,0.951158684215317,0.643988180922797,0.910960916838084,0.432529109026536,0.995093318659146,0.893397940642035,0,0.447104849028576,0.590185878129658,0.682128240109141,0.469611945976793,0.874067475782207,0.397800956313499,0.709749247235647,0.645680751900655,1.34511536573392,0.103648424543947,0.622972703959155,0.529623168911961,0.604626032366789,0.33779303350626,0.912238023952096,0.493991488723496,0.764811043871473,0.571984213235715,0.800721426683458,0.533290085002051,1.3300807341581,0.536750883747325,0,0,0.172209826442444,0.670329219794186,0.452935291095427,0.55363321799308,0
"ASV_30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274914089347079,1.47180762852405,0.0316170357272504,0,0.607198909100265,0,0.0592564870259481,0.0590540109859208,0.0822171872161834,0,0,0.0725045553848943,0.0418191322530058,0,0,0,0,0,0,0,0
"ASV_31",0,0,0,0.0151479449288047,0,0,0,0,0,0,0.0419753987662883,0,0,0,0,0,0.00533508120755752,0.122455773254708,0,0.014320834427286,0,0,0.559646539027982,0.107103372028745,0.0573790648383433,0,1.57460056088713,0.497718141748254,0.0873253493013972,0.296207420183349,0.230399326966281,1.34416290110393,0.0606371565837959,0.324362484616632,0.16611488644944,0,0,0,0,0,0,0,0
"ASV_32",0,0.338479700440854,2.48177530017153,0.116134244454169,0.24234693877551,0.0503060283390626,0,0.423242859483371,0,0.078877770388357,0.15877650837683,0,0.245642371626624,0,0.0514758872236848,0.0593228073377749,0.0281997149542326,0.904746052881872,0.707048212893887,0.0533053281460089,2.04068722957415,0.114581236548318,0,0,0,0.174439377062273,0,0.0304247766899403,0,0,0,0,0,0,0,0.210444179090361,0,0,0,0,0,0,0
"ASV_33",0,0,0,0,0,0,0,0,0,0,0,0,0.0302846759539673,0,0,0,0,0,0,0,0,0,0.481099656357388,1.73783858485351,0,0,0.627781922968071,0.0148223271053555,0.0249500998003992,0.00656155677621342,0.113765642775882,0,0,0.0629644823079345,0,0,0,0,0,0,0,0,0
"ASV_34",0.818504533429805,0.480512054304318,0.42747641509434,1.1125323997711,0.612244897959184,0.838433805651044,0.88524619246565,0.281251706624433,0.467207111649872,0.17631501616221,0.604080738767018,1.79758793048104,0.575408843125379,1.54320987654321,1.06628623534776,0.617565635362478,0.740814133392273,0.124833555259654,0.33403852577664,0.930854237773588,0.76035525416867,0.263227165043432,0.422189494354443,0.0656440022111664,0.75178284951462,0.802841470334797,0.581470141765508,0.298786909544799,0.313435628742515,0.387131849796592,0.146270112140419,1.0009723731625,0.455556073821851,0.314822411539672,0.226520299703781,0.643155243961553,0,0,1.73557555518951,1.06801689147636,0.213623211919634,1.32352941176471,0.749318801089918
"ASV_35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457923507694069,0,0,0,0,0,0,0,0,0
"ASV_36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746195385370643,0.0518242122719735,0.118271133646381,0,0.509429593228188,0.556227327690447,0.0514595808383234,0.346825143885566,0.528675634076156,0.852256477721215,0.188130665298444,0.238501826923994,0.530870651100656,0,0,0,0,0,0,0,0
"ASV_37",0.463517760643951,0.680648552930109,0.562821612349914,0.245733328845053,0.731292517006803,0.76297476314245,0.556161686048059,1.01396246336446,0.522766876278506,0.900134556196545,0.358615906851115,0.930893749713395,0.810956322767346,0,0.341211595311282,0.591706975753704,0.663074378653578,0.462478599961956,0.695913595367999,0.292781503846735,0.526302472103439,0.55587383676819,0.427098674521355,0.0535516860143726,0.405166457838097,0.498097980286249,0.223840275812386,0.132620821468971,0.729790419161677,0.428375920961362,0.599420655634267,0.497626265515072,0.528631621499759,0.531382070386659,0.769007376430272,0.56985446248064,0,0,0.0823612213420387,0.786150629330491,0.60842054027744,1.06401384083045,0
"ASV_38",0,0,0.0321612349914237,0,0,0,0,0.0282161906322247,0,0,0,0,0,0,0,0,0,0,0,0.013525232514659,0.0366893550264416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
