"","(Intercept)","Root","Salinity","Root:Salinity"
"ASV_97",NA,0.999000999000999,0.110889110889111,1
"ASV_295",NA,0.956043956043956,0.994005994005994,1
"ASV_77",NA,0.999000999000999,0.971028971028971,1
"ASV_418",NA,0.999000999000999,0.994005994005994,1
"ASV_615",NA,0.999000999000999,0.002997002997003,1
"ASV_53",NA,0.992007992007992,1,1
"ASV_54",NA,0.997002997002997,0.85014985014985,1
"ASV_243",NA,1,1,1
"ASV_573",NA,1,0.000999000999000999,1
"ASV_441",NA,0.999000999000999,0.994005994005994,1
"ASV_497",NA,0.999000999000999,0.94005994005994,1
"ASV_345",NA,0.995004995004995,0.992007992007992,0.849150849150849
"ASV_409",NA,1,0.000999000999000999,1
"ASV_312",NA,0.991008991008991,0.958041958041958,1
"ASV_1087",NA,0.995004995004995,0.623376623376623,1
"ASV_142",NA,1,0.994005994005994,1
"ASV_1735",NA,0.999000999000999,0.994005994005994,1
"ASV_177",NA,0.999000999000999,0.987012987012987,1
"ASV_233",NA,0.999000999000999,0.994005994005994,1
"ASV_157",NA,1,0.994005994005994,1
"ASV_71",NA,0.992007992007992,0.992007992007992,1
"ASV_1637",NA,0.992007992007992,0.96003996003996,1
"ASV_93",NA,0.988011988011988,1,1
"ASV_1053",NA,0.991008991008991,0.951048951048951,1
"ASV_56",NA,1,0.002997002997003,1
"ASV_634",NA,0.884115884115884,0.631368631368631,1
"ASV_16",NA,1,0.000999000999000999,1
"ASV_114",NA,0.998001998001998,0.987012987012987,0.998001998001998
"ASV_79",NA,0.992007992007992,1,1
"ASV_967",NA,1,0.000999000999000999,1
"ASV_83",NA,0.999000999000999,0.812187812187812,1
"ASV_256",NA,0.938061938061938,0.992007992007992,1
"ASV_691",NA,1,0.000999000999000999,1
"ASV_216",NA,0.999000999000999,0.999000999000999,1
"ASV_313",NA,0.619380619380619,1,1
"ASV_124",NA,0.999000999000999,0.963036963036963,1
"ASV_445",NA,1,0.000999000999000999,1
"ASV_94",NA,0.999000999000999,0.901098901098901,1
"ASV_127",NA,0.999000999000999,1,0.999000999000999
"ASV_91",NA,0.951048951048951,1,1
"ASV_1129",NA,0.999000999000999,0.036963036963037,0.997002997002997
"ASV_1267",NA,1,0.994005994005994,1
"ASV_1753",NA,0.992007992007992,0.96003996003996,1
"ASV_81",NA,0.999000999000999,0.994005994005994,1
"ASV_241",NA,0.992007992007992,0.992007992007992,1
"ASV_163",NA,1,0.999000999000999,1
"ASV_556",NA,1,0.992007992007992,1
"ASV_92",NA,0.918081918081918,0.992007992007992,1
"ASV_183",NA,1,0.994005994005994,1
"ASV_104",NA,0.999000999000999,0.24975024975025,0.993006993006993
"ASV_1078",NA,1,0.999000999000999,1
"ASV_785",NA,0.999000999000999,0.968031968031968,1
"ASV_513",NA,1,0.999000999000999,1
"ASV_186",NA,1,0.987012987012987,1
"ASV_82",NA,0.999000999000999,0.994005994005994,1
"ASV_916",NA,1,1,1
"ASV_153",NA,0.999000999000999,0.992007992007992,1
"ASV_143",NA,1,1,1
"ASV_136",NA,1,1,1
"ASV_137",NA,0.99000999000999,0.706293706293706,1
"ASV_1623",NA,1,0.047952047952048,1
