SampleID,X1_Ambient_Intact,X10_Ambient_Disrupted,X11_Ambient_Disrupted,X12_Ambient_Disrupted,X2_Ambient_Intact,X3_Ambient_Intact,X39_Medium_Intact,X4_Ambient_Intact,X40_Medium_Intact,X41_Medium_Intact,X42_Medium_Intact,X43_Medium_Intact,X44_Medium_Intact,X46_Medium_Disrupted,X47_Medium_Disrupted,X48_Medium_Disrupted,X49_Medium_Disrupted,X5_Ambient_Intact,X50_Medium_Disrupted,X6_Ambient_Intact,X7_Ambient_Disrupted,X77_Low_Intact,X78_Low_Intact,X79_Low_Intact,X8_Ambient_Disrupted,X80_Low_Intact,X81_Low_Intact,X82_Low_Intact,X83_Low_Disrupted,X84_Low_Disrupted,X85_Low_Disrupted,X86_Low_Disrupted,X87_Low_Disrupted,X88_Low_Disrupted,X9_Ambient_Disrupted
ASV_1209_Mor1,0.021480091,0.011067456,0.025460978,0.02692968,0,0,0.009757223,0.020024393,0,0.021652721,0.020075191,0.064199569,0.021872266,0.027944053,0.027379757,0.028199715,0,0.050105779,0.032619678,0.024037853,0,0,0,0.014052016,0,0,0.020283184,0.015593812,0.011248383,0.010516152,0.045758737,0.02798638,0,0,0.021280872
ASV_1210_UBA4421,0,0.017523472,0.016080617,0,0,0.020960845,0.032819749,0.040048787,0.030305326,0.010826361,0.029200277,0,0,0,0.022816464,0.019053861,0.016644474,0,0.05410093,0.021507553,0.023225926,0,0,0.032788037,0.033626868,0,0.022623552,0.035865768,0,0.022944331,0.040038895,0.023321983,0.021942168,0.030202707,0.03546812
ASV_1211_WYBL01,0,0,0,0,0,0,0,0,0,0.015466229,0,0,0,0,0,0.005335081,0,0.072375014,0.008751621,0.008856051,0,0,0,0,0,0,0.01560245,0.010915669,0.009373653,0.013384193,0,0,0,0,0.003546812
ASV_1212_Aminicenans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010141592,0,0.021559401,0.123325781,0,0,0.020988161,0.010454783,0
ASV_1213_Desulfobacula,0.065570805,0.047036689,0,0,0,0,0.084266922,0.075546575,0,0.060318295,0.043800416,0,0,0,0.066928295,0,0,0,0.031028475,0,0,0,0,0,0,0,0,0,0.030933053,0,0,0,0,0.052273915,0.073300781
ASV_1214_Woeseia,0.057657087,0.01383432,0.016080617,0.05049315,0.068027211,0,0.041689951,0.036407988,0,0,0.024637734,0,0,0.042651449,0.071491588,0,0.008322237,0,0.026254863,0.025303003,0.012387161,0,0,0.033959038,0.016813434,0,0.01248196,0.017153194,0,0.00764811,0,0,0.027666212,0.011616426,0.037832661
ASV_1215_Desulforhopalus,0.018088498,0,0,0,0,0,0.011531263,0.012742796,0,0.020106098,0,0,0.018507302,0,0.028900855,0.00685939,0,0,0.217199322,0.010121201,0,0,0,0.030446034,0.063050377,0,0.008581347,0,0.015935209,0.026768387,0,0,0.021942168,0.012778068,0.042561744
ASV_1216_Desulfocapsa,0,0.042425249,0.026801029,0,0,0,0.03725485,0,0,0.034025705,0.024637734,0,0.04206205,0.07941994,0,0,0.030911166,0,0.032619678,0.032893905,0.030967902,0,0,0.028104032,0,0,0.024963919,0,0.021559401,0,0,0,0.028620219,0.027879422,0.039014932
ASV_1217_Unidentified Rhodobacteraceae,0.045221245,0,0,0.021880365,0,0,0.028384647,0.026395791,0,0.017012852,0.010950104,0,0,0,0.036506343,0,0,0,0.085129405,0.026568154,0,0,0,0.029275033,0.037830226,0,0.036665757,0,0.041244071,0,0.074357948,0,0.036252278,0,0.062660345
ASV_1219_Unidentified Gammaproteobacteria,0.068962399,0,0,0.07069041,0,0.054498197,0.052334194,0,0,0,0.050187977,0,0,0.092656597,0,0,0.03566673,0,0.060465745,0,0,0,0,0.04449805,0.037830226,0,0.031204899,0,0,0,0,0.051308363,0.029574227,0,0.041379473
ASV_1220_JAADFK01,0.029393809,0.03228008,0.034841338,0,0,0,0.035480809,0.017293794,0,0,0.017337665,0.036685468,0.031967158,0.033827012,0.024337562,0.017529553,0.019022256,0,0.049327319,0,0.029419507,0,0,0.030446034,0.073558773,0,0.010921715,0,0.018747305,0.026768387,0,0.020212386,0,0.018586281,0.029556767
ASV_1221_GCA-002790365,0.022610622,0,0,0.031978995,0.114795918,0,0.019514445,0.021844793,0,0.012372984,0.024637734,0,0.043744532,0.010295177,0,0.00685939,0,0,0.014320834,0,0,0,0,0.011710013,0,0.041166028,0.020283184,0,0,0,0.068638106,0,0,0,0
ASV_1222_UNRQ01,0.019219029,0.022134912,0.042881647,0,0,0,0.025723587,0.066444578,0,0.024745967,0.009125087,0,0.01682482,0.020590355,0.030421952,0.030486178,0.022588929,0,0.008751621,0.027833304,0.048000248,0,0,0,0.021016792,0,0.014042205,0.021831337,0.018747305,0.025812373,0,0.018657587,0.025758197,0.026717779,0.018916331
ASV_1223_BMS3Bbin01,0.035046465,0,0,0.06059178,0.080782313,0,0.031045708,0,0.078288759,0,0,0.224698491,0,0,0.05780171,0,0,0,0.036597688,0.049340857,0,0,0,0.053866061,0,0,0.021063307,0.057697106,0,0,0,0,0.027666212,0,0.061478075
ASV_1224_Unidentified Tissierellales,0.038438058,0.039658385,0.017420669,0,0.05952381,0.029345183,0.018627425,0.027305991,0.010101775,0.055678426,0.011862613,0.041271151,0.02523723,0.019119615,0.013689879,0.010670162,0.017833365,0,0.014320834,0.020242403,0.029419507,0,0.006909895,0.016394019,0.016813434,0.036020274,0,0.032747006,0.010311018,0.023900345,0.017159526,0.034205576,0.02480419,0.024394494,0.030739037
ASV_1225_Unidentified Bacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007160417,0,0,0,0,0,0,0,0.027304287,0.035865768,0.044056167,0.015296221,0,0,0.026712205,0,0
ASV_1226_Lacinutrix,0.02034956,0.053492705,0.034841338,0.028612785,0,0,0.020401465,0.015473395,0.035356214,0,0,0,0,0,0.042590733,0.052588658,0,0,0.021481252,0.020242403,0.063484199,0,0,0.018736021,0,0.059176165,0,0,0.054367185,0.024856359,0,0.085513939,0.0391143,0.017424638,0
ASV_1227_JAADFK01,0.036176996,0.066404737,0,0.095936985,0,0,0,0.052791582,0,0,0,0,0,0,0,0,0,0,0,0.087295362,0,0,0,0,0,0,0,0.0499002,0,0,0,0,0.052470402,0,0.099310736
ASV_1228_Maridesulfovibrio,0,0.02766864,0.040201544,0,0,0,0.013305303,0.031856989,0.045457989,0.020106098,0.022812717,0.027514101,0.00841241,0.027944053,0,0.034296951,0.01188891,0.04453847,0.009547223,0.018977253,0.058839013,0,0,0.007026008,0,0,0.019503062,0.023390719,0.018747305,0.057360828,0,0.032650777,0.01049408,0.016262996,0.01773406
ASV_1230_Woeseia,0.03052434,0.024901776,0.034841338,0.01009863,0.025510204,0.037729521,0.025723587,0.031856989,0.012627219,0.046398688,0,0,0.035332122,0.013236657,0.018253171,0.029724024,0.015455583,0,0.010342825,0.012651502,0.041806667,0,0.006909895,0.012881015,0,0.018010137,0.014822327,0.031187625,0.013123114,0.022944331,0,0.015547989,0.030528234,0.026717779,0.013004977
ASV_1231_Unidentified Flavobacteriaceae,0.09044249,0.045192113,0,0,0.051020408,0,0,0,0,0.04175882,0,0,0,0,0.036506343,0,0,0,0.05012292,0.054401457,0,0,0,0.059721067,0.05464366,0,0,0.059256487,0,0.017208248,0.074357948,0,0.040068307,0.041819132,0.073300781
ASV_1232_JAADFK01,0.05991815,0.041502961,0.028141081,0.038711415,0,0,0.020401465,0.038228387,0.045457989,0.046398688,0.009125087,0,0,0.033827012,0.027379757,0.015243089,0,0,0.042962503,0.049340857,0,0,0,0.038643044,0,0,0.025744042,0.035865768,0,0,0,0,0,0.033687634,0
