"","SampleID","Salinity","Mean_Relabun","SEM"
"109","ASV_1037_Unidentified Bacteria","Ambient",0.0364449973333333,0.00999996037771392
"110","ASV_1037_Unidentified Bacteria","Low",0.0049300215,0.00334524139377608
"111","ASV_1037_Unidentified Bacteria","Medium",0.0224488015454545,0.00607220622592174
"112","ASV_1039_Unidentified Peptostreptococcaceae","Ambient",0.0182833919166667,0.00639173591179849
"113","ASV_1039_Unidentified Peptostreptococcaceae","Low",0.02063111275,0.00485484585072959
"114","ASV_1039_Unidentified Peptostreptococcaceae","Medium",0.03908735,0.00570255807861056
"115","ASV_1040_41T-STBD-0c-01a","Ambient",0.0302803283333333,0.0182208887644415
"116","ASV_1040_41T-STBD-0c-01a","Low",0.0289821418333333,0.0100848964638621
"117","ASV_1040_41T-STBD-0c-01a","Medium",0.027009011,0.00914534945654784
"118","ASV_1041_Unidentified Bacteria","Ambient",0.0222910126666667,0.0101443689510393
"119","ASV_1041_Unidentified Bacteria","Low",0.00943739616666667,0.007461332638473
"120","ASV_1041_Unidentified Bacteria","Medium",0.0236808872727273,0.00842432257917054
"121","ASV_1042_Desulforhopalus","Ambient",0.0182657679166667,0.00433177135789125
"122","ASV_1042_Desulforhopalus","Low",0.0196773874166667,0.00453030188028251
"123","ASV_1042_Desulforhopalus","Medium",0.023492125,0.00330332506601197
"124","ASV_1043_Unidentified Spirochaetia","Ambient",0.01940244,0.00990537321242966
"125","ASV_1043_Unidentified Spirochaetia","Low",0.0167627846666667,0.0080352977074405
"126","ASV_1043_Unidentified Spirochaetia","Medium",0.0275893291818182,0.00993537776608399
"127","ASV_1045_SZUA-582","Ambient",0.0206858514166667,0.00582514709398123
"128","ASV_1045_SZUA-582","Low",0.014811097,0.00475205012100776
"129","ASV_1045_SZUA-582","Medium",0.0263651318181818,0.00617592753020164
"130","ASV_1046_UBA2767","Ambient",0.0402184743333333,0.0193736115567821
"131","ASV_1046_UBA2767","Low",0.0175351953333333,0.00977010030880475
"132","ASV_1046_UBA2767","Medium",0.0223466031818182,0.0099381350515877
"133","ASV_1047_Unidentified Woeseiaceae","Ambient",0.0369277801666667,0.0160586110840782
"134","ASV_1047_Unidentified Woeseiaceae","Low",0,0
"135","ASV_1047_Unidentified Woeseiaceae","Medium",0.0456449139090909,0.015362093471043
"136","ASV_1048_JAADHC01","Ambient",0.0121036969166667,0.00713339578874858
"137","ASV_1048_JAADHC01","Low",0.0558705149166667,0.0307616831423762
