"","H1","H2","H3","H4","H5","U1","U2","U3","U4","U5"
"ASV_869",29,0,38,408,75,0,0,0,0,0
"ASV_876",1289,0,0,0,0,0,0,0,0,0
"ASV_884",73,21,6,621,0,532,0,11,0,9
"ASV_894",0,0,0,0,0,94,0,0,0,3
"ASV_895",0,7,0,0,0,0,466,32,1079,16
"ASV_899",0,0,0,0,0,0,0,0,51,17
"ASV_908",0,0,2,0,0,0,36,5,18,0
"ASV_918",0,0,207,156,0,0,0,0,0,0
"ASV_920",910,0,53,0,0,0,0,0,0,0
"ASV_921",101,0,87,43,0,5,0,87,0,0
"ASV_925",13,0,0,76,0,0,0,0,0,3
"ASV_941",48,0,9,185,0,0,138,17,267,21
"ASV_946",0,0,0,0,0,0,0,0,272,17
"ASV_947",0,0,0,0,0,907,0,0,24,31
"ASV_948",0,127,19,137,0,0,0,0,0,0
"ASV_950",0,55,0,0,0,0,0,0,0,0
"ASV_951",0,0,211,47,0,0,0,0,0,0
"ASV_955",913,0,27,337,0,0,0,0,0,0
"ASV_956",0,104,23,0,0,0,0,0,0,49
"ASV_957",0,4,0,0,0,0,0,0,0,0
"ASV_959",0,3,6,38,0,21,0,25,0,4
"ASV_965",0,0,0,0,0,0,185,0,0,271
"ASV_968",501,0,41,1403,0,0,0,0,0,0
"ASV_969",21,3,4,114,0,26,548,0,111,159
"ASV_972",0,0,0,43,0,0,374,0,0,267
"ASV_983",0,0,0,3735,0,0,0,0,0,0
"ASV_994",0,0,0,0,0,44,0,0,0,0
"ASV_997",0,0,198,0,0,0,0,0,0,0
"ASV_999",22,4,108,379,93,0,0,23,87,0
"ASV_1005",0,0,0,0,0,0,0,4,0,8
"ASV_1007",57,0,3,0,0,0,410,31,870,56
"ASV_1010",0,0,184,0,0,0,0,0,0,0
"ASV_1011",0,0,47,0,0,0,0,0,0,0
"ASV_1015",0,0,7,0,0,0,0,0,0,8
"ASV_1016",0,0,10,0,0,360,133,24,639,0
"ASV_1021",22,11,11,0,0,0,0,0,0,0
"ASV_1024",0,0,0,0,0,0,456,86,0,112
"ASV_1026",0,0,7,3332,0,0,0,0,0,0
"ASV_1029",304,4,30,1431,203,0,0,0,0,0
"ASV_1038",49,0,0,0,0,0,0,16,0,240
"ASV_1044",320,11,15,1806,0,0,0,0,0,0
"ASV_1049",0,0,1,38,0,0,0,0,49,0
"ASV_1050",70,0,36,0,0,0,0,0,0,33
"ASV_1051",0,0,0,0,0,0,0,5,0,33
"ASV_1052",562,0,23,659,100,0,0,0,0,0
"ASV_1053",0,0,0,0,0,0,87,0,0,41
"ASV_1059",955,0,11,0,0,0,0,0,0,0
"ASV_1060",0,0,9,0,0,68,0,0,0,79
"ASV_1065",0,0,7,0,0,0,292,12,398,115
"ASV_1067",0,5,9,498,0,0,0,0,0,0
"ASV_1070",95,15,0,2659,0,0,0,0,0,1
"ASV_1075",0,0,0,2389,0,109,0,0,0,0
"ASV_1078",0,2,0,0,0,50,0,0,0,0
"ASV_1084",261,0,116,0,0,0,77,0,114,0
"ASV_1085",0,109,0,0,0,0,0,0,0,27
"ASV_1091",21,0,60,1607,58,0,0,0,0,0
"ASV_1102",0,0,0,0,0,57,241,0,0,106
"ASV_1108",77,0,4,2891,0,0,0,0,0,0
"ASV_1109",0,0,0,0,0,0,0,260,0,0
"ASV_1110",0,0,0,100,0,0,0,0,0,0
"ASV_1113",0,0,0,0,0,0,0,6,0,0
"ASV_1114",39,0,72,1735,0,0,0,0,0,0
"ASV_1118",0,6,18,2005,0,0,0,0,0,0
"ASV_1121",79,0,32,1830,15,0,0,0,0,4
"ASV_1127",317,9,28,166,311,0,31,0,29,0
"ASV_1130",0,0,172,0,0,0,0,0,0,0
"ASV_1137",289,0,13,962,0,0,0,0,0,0
"ASV_1138",153,8,13,1048,0,0,0,0,0,0
"ASV_1143",38,4,120,389,135,0,0,0,0,0
"ASV_1155",0,3,15,2493,115,0,0,0,0,0
"ASV_1157",0,0,2,0,0,0,0,0,0,3
"ASV_1162",102,24,49,0,0,0,0,9,472,0
"ASV_1164",0,0,0,2815,110,0,0,0,0,0
"ASV_1175",0,0,0,0,0,1564,0,0,0,0
"ASV_1177",149,8,16,777,0,0,0,0,0,0
"ASV_1178",0,9,0,1806,0,0,0,0,0,0
"ASV_1186",189,0,114,95,0,0,0,0,0,8
"ASV_1204",0,0,126,559,0,0,0,0,0,0
"ASV_1207",0,0,0,2797,0,0,0,5,0,0
"ASV_1211",0,4,5,796,0,0,0,101,51,0
"ASV_1212",0,0,0,0,0,467,0,23,0,61
"ASV_1215",0,0,0,128,0,0,0,0,0,0
"ASV_1218",603,0,0,393,0,0,0,3,0,23
"ASV_1225",0,1,0,0,0,102,0,47,136,75
"ASV_1229",87,34,65,370,0,0,0,0,0,0
"ASV_1247",0,0,0,0,0,967,67,61,73,0
"ASV_1253",0,0,0,0,0,0,51,0,0,28
"ASV_1257",419,8,34,0,0,0,205,3,0,0
"ASV_1259",0,0,11,0,0,0,0,0,0,0
"ASV_1263",0,0,0,0,0,0,0,0,0,210
"ASV_1265",0,99,0,0,0,0,0,0,0,0
"ASV_1269",73,1,2,1977,0,0,0,0,0,0
"ASV_1278",397,0,0,526,0,0,0,0,0,0
"ASV_1279",77,0,28,1891,0,0,0,0,0,0
"ASV_1280",86,0,0,2062,0,0,0,0,0,0
"ASV_1281",29,0,24,1986,0,0,0,0,0,0
"ASV_1283",0,0,10,161,0,0,666,39,214,7
"ASV_1286",233,26,14,175,353,0,31,0,0,0
"ASV_1287",0,0,0,2640,0,0,0,0,0,0
"ASV_1289",15,0,0,0,0,0,0,0,76,0
"ASV_1291",56,9,72,863,0,0,0,0,0,0
"ASV_1306",432,41,0,0,0,0,0,0,0,0
"ASV_1308",0,0,0,2574,0,0,0,0,0,0
"ASV_1311",0,0,0,33,0,0,144,16,574,30
"ASV_1317",46,3,3,578,0,0,267,0,470,32
"ASV_1326",0,0,0,0,0,0,323,19,0,26
"ASV_1327",237,0,76,0,0,0,82,19,0,0
"ASV_1336",0,0,0,76,0,0,0,0,0,0
"ASV_1337",733,0,0,0,0,0,0,0,0,0
"ASV_1339",0,2,0,0,0,0,87,15,31,162
"ASV_1344",0,0,0,0,0,136,0,0,1033,0
"ASV_1351",0,1,1,0,0,50,410,16,432,13
"ASV_1352",0,0,0,2427,0,0,0,0,0,0
"ASV_1357",0,0,0,0,0,8,267,24,22,60
"ASV_1358",0,0,5,422,0,76,67,13,65,84
"ASV_1363",4,0,19,0,0,0,0,16,0,0
"ASV_1365",0,0,0,0,0,0,46,0,0,14
"ASV_1372",0,0,0,0,0,0,0,0,122,0
"ASV_1377",0,0,0,0,0,0,118,0,0,14
"ASV_1384",233,0,51,611,0,0,0,0,0,0
"ASV_1386",184,19,46,0,0,0,0,27,0,0
"ASV_1387",20,0,25,938,0,0,0,0,0,56
"ASV_1395",0,0,8,185,0,0,0,0,0,0
"ASV_1406",0,0,20,0,0,0,0,154,0,0
"ASV_1408",0,0,0,0,0,0,0,0,220,0
"ASV_1413",0,0,0,389,0,0,0,0,0,0
"ASV_1415",0,0,0,294,0,0,0,0,116,22
"ASV_1419",0,0,0,104,0,0,0,0,0,0
"ASV_1424",273,11,0,1033,0,0,0,0,0,0
"ASV_1425",11,1,0,1977,100,0,0,0,0,0
"ASV_1429",17,0,0,213,0,0,0,0,0,0
"ASV_1439",77,0,0,1811,0,0,0,0,0,0
"ASV_1441",259,0,10,1109,0,0,0,3,0,0
"ASV_1443",62,0,3,71,98,0,0,62,100,0
"ASV_1451",0,1,9,374,857,0,0,0,0,0
"ASV_1453",81,4,68,0,80,0,77,0,0,0
"ASV_1459",195,5,33,673,0,0,0,0,0,0
"ASV_1467",0,0,0,0,0,0,164,26,49,17
"ASV_1469",0,0,0,0,0,0,0,0,0,160
"ASV_1475",39,2,63,289,261,0,0,0,0,0
"ASV_1495",0,0,0,0,0,0,0,0,16,3
"ASV_1496",0,0,0,0,0,0,0,11,0,6
"ASV_1497",0,0,0,2071,0,0,0,0,0,0
"ASV_1500",0,0,0,0,0,602,0,0,0,76
"ASV_1502",0,0,0,0,0,0,0,0,0,19
"ASV_1508",0,0,5,0,0,0,0,0,917,0
"ASV_1511",606,0,0,0,0,0,0,0,0,0
"ASV_1514",0,0,0,2043,0,0,0,0,0,0
